"","state","year","hazard","cropdmg","cropdmg_adj","cropdmgpercapita","propertydmg","propertydmg_adj","propertydmgpercapita","duration_days"
"306","ALASKA",2022,"Winter Weather",0,0,0,0,0,0,6
"307","ALASKA",2023,"Flooding",0,0,0,7e+06,7e+06,221.83489,2
"308","ALASKA",2023,"Landslide",0,0,0,2151000,2151000,563.6152,1
"309","ALASKA",2023,"Lightning",0,0,0,0,0,0,1
"310","ALASKA",2023,"Winter Weather",0,0,0,60000,60000,8.15107,3
"311","AMERICAN SAMOA",2000,"Coastal",0,0,0,150000,262247.48835,9.63644,5
"312","AMERICAN SAMOA",2000,"Flooding",0,0,0,440000,769259.29916,52.35673,4
"313","AMERICAN SAMOA",2000,"Wind",50000,87415.82945,63.43674,0,0,0,3
"314","AMERICAN SAMOA",2001,"Coastal",0,0,NA,220000,373987.72242,NA,8
"315","AMERICAN SAMOA",2001,"Wind",70000,118996.0935,18062.13767,50000,84997.20964,62.72857,3
